Date : 2023-01-31 15:22:22
Directory : /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore
Total : 67 files,  3226 codes, 327 comments, 497 blanks, all 4050 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         20 |      1,636 |         60 |        212 |      1,908 |
| C++        |         16 |        508 |        107 |        170 |        785 |
| XML        |         10 |        472 |         48 |         13 |        533 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Groovy     |          3 |         89 |          5 |         22 |        116 |
| Batch      |          1 |         66 |          0 |         25 |         91 |
| Java       |          1 |         61 |          5 |          4 |         70 |
| Swift      |          4 |         44 |          3 |         12 |         59 |
| YAML       |          2 |         39 |         83 |         18 |        140 |
| HTML       |          1 |         37 |         16 |          6 |         59 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          3 |         13 |          0 |          2 |         15 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |         67 |      3,226 |        327 |        497 |      4,050 |
| . (Files)                                                                                                                                 |          3 |         49 |         83 |         25 |        157 |
| android                                                                                                                                   |         15 |        297 |         56 |         63 |        416 |
| android (Files)                                                                                                                           |          5 |        109 |          0 |         35 |        144 |
| android/app                                                                                                                               |          9 |        183 |         56 |         27 |        266 |
| android/app (Files)                                                                                                                       |          1 |         54 |          5 |         13 |         72 |
| android/app/src                                                                                                                           |          8 |        129 |         51 |         14 |        194 |
| android/app/src/debug                                                                                                                     |          1 |          4 |          4 |          1 |          9 |
| android/app/src/main                                                                                                                      |          6 |        121 |         43 |         12 |        176 |
| android/app/src/main (Files)                                                                                                              |          1 |         34 |          6 |          2 |         42 |
| android/app/src/main/java                                                                                                                 |          1 |         61 |          5 |          4 |         70 |
| android/app/src/main/java/io                                                                                                              |          1 |         61 |          5 |          4 |         70 |
| android/app/src/main/java/io/flutter                                                                                                      |          1 |         61 |          5 |          4 |         70 |
| android/app/src/main/java/io/flutter/plugins                                                                                              |          1 |         61 |          5 |          4 |         70 |
| android/app/src/main/res                                                                                                                  |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                                         |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                                     |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                                   |          1 |          4 |          4 |          1 |          9 |
| android/gradle                                                                                                                            |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                                       |          7 |        222 |          2 |          9 |        233 |
| ios/Runner                                                                                                                                |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                                                        |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                                                |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                             |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                           |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                     |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                       |         19 |      1,622 |         50 |        205 |      1,877 |
| lib (Files)                                                                                                                               |          1 |        144 |          1 |         11 |        156 |
| lib/acceleration                                                                                                                          |          1 |         35 |          0 |          7 |         42 |
| lib/animations                                                                                                                            |          1 |         62 |          0 |          7 |         69 |
| lib/fileaccess                                                                                                                            |          1 |         84 |          0 |         13 |         97 |
| lib/fingerprint                                                                                                                           |          1 |         59 |          1 |         10 |         70 |
| lib/gestures                                                                                                                              |          1 |         33 |          0 |          7 |         40 |
| lib/hardwarefunctions                                                                                                                     |          1 |         92 |         19 |         16 |        127 |
| lib/inputmethods                                                                                                                          |          1 |         35 |          0 |          4 |         39 |
| lib/interactiondesign                                                                                                                     |          1 |        108 |         13 |         10 |        131 |
| lib/location                                                                                                                              |          1 |         80 |          2 |         17 |         99 |
| lib/multimedia                                                                                                                            |          1 |        132 |         10 |         14 |        156 |
| lib/navigation                                                                                                                            |          1 |         70 |          0 |          8 |         78 |
| lib/networkcall                                                                                                                           |          1 |         48 |          4 |         10 |         62 |
| lib/objects                                                                                                                               |          1 |         17 |          0 |          3 |         20 |
| lib/performance                                                                                                                           |          1 |         82 |          0 |          9 |         91 |
| lib/persistence                                                                                                                           |          1 |         54 |          0 |          8 |         62 |
| lib/uiux                                                                                                                                  |          3 |        487 |          0 |         51 |        538 |
| linux                                                                                                                                     |          5 |         94 |         27 |         38 |        159 |
| linux (Files)                                                                                                                             |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                                                             |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                                                                     |          5 |        443 |          3 |         12 |        458 |
| macos/Flutter                                                                                                                             |          1 |         12 |          3 |          4 |         19 |
| macos/Runner                                                                                                                              |          4 |        431 |          0 |          8 |        439 |
| macos/Runner (Files)                                                                                                                      |          2 |         20 |          0 |          6 |         26 |
| macos/Runner/Assets.xcassets                                                                                                              |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                                           |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                                   |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                                      |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                       |          2 |         72 |         16 |          7 |         95 |
| windows                                                                                                                                   |         10 |        413 |         80 |        131 |        624 |
| windows/flutter                                                                                                                           |          2 |         17 |          9 |         11 |         37 |
| windows/runner                                                                                                                            |          8 |        396 |         71 |        120 |        587 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                  | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/README.md                                                                   | Markdown   |         10 |          0 |          7 |         17 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/analysis_options.yaml                                                       | YAML       |          3 |         23 |          4 |         30 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/build.gradle                                                    | Groovy     |         54 |          5 |         13 |         72 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/debug/AndroidManifest.xml                                   | XML        |          4 |          4 |          1 |          9 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/AndroidManifest.xml                                    | XML        |         34 |          6 |          2 |         42 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/java/io/flutter/plugins/GeneratedPluginRegistrant.java | Java       |         61 |          5 |          4 |         70 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/res/drawable-v21/launch_background.xml                 | XML        |          4 |          7 |          2 |         13 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/res/drawable/launch_background.xml                     | XML        |          4 |          7 |          2 |         13 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/res/values-night/styles.xml                            | XML        |          9 |          9 |          1 |         19 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/main/res/values/styles.xml                                  | XML        |          9 |          9 |          1 |         19 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/app/src/profile/AndroidManifest.xml                                 | XML        |          4 |          4 |          1 |          9 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/build.gradle                                                        | Groovy     |         27 |          0 |          5 |         32 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/gradle.properties                                                   | Properties |          3 |          0 |          1 |          4 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/gradle/wrapper/gradle-wrapper.properties                            | Properties |          5 |          0 |          1 |          6 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/gradlew.bat                                                         | Batch      |         66 |          0 |         25 |         91 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/local.properties                                                    | Properties |          5 |          0 |          0 |          5 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/android/settings.gradle                                                     | Groovy     |          8 |          0 |          4 |         12 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/AppDelegate.swift                                                | Swift      |         12 |          0 |          2 |         14 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                 | JSON       |        122 |          0 |          1 |        123 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json               | JSON       |         23 |          0 |          1 |         24 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                   | Markdown   |          3 |          0 |          2 |          5 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Base.lproj/LaunchScreen.storyboard                               | XML        |         36 |          1 |          1 |         38 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Base.lproj/Main.storyboard                                       | XML        |         25 |          1 |          1 |         27 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/ios/Runner/Runner-Bridging-Header.h                                         | C++        |          1 |          0 |          1 |          2 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/acceleration/acceleration.dart                                          | Dart       |         35 |          0 |          7 |         42 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/animations/animations.dart                                              | Dart       |         62 |          0 |          7 |         69 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/fileaccess/fileaccess.dart                                              | Dart       |         84 |          0 |         13 |         97 |
| /Users/anja/Documents/GitHub/masterthesis/flutter/monstradore/lib/fingerprint/fingerprint.dart                                            | Dart       |         59 |          1 |         10 |         70 |
