"filename", "language", "JavaScript", "Batch", "JSON", "Groovy", "Properties", "Objective-C", "Objective-C++", "C++", "XML", "Java", "comment", "blank", "total"
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/.eslintrc.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/.prettierrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/App.js", "JavaScript", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 167
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/EmptyScreen.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/__tests__/App-test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/acceleration/AccelerationScreen.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/build.gradle", "Groovy", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 131, 31, 317
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/debug/java/com/monstradore/ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 8, 6, 74
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 34
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/java/com/monstradore/MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 12, 8, 49
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/java/com/monstradore/MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 14, 10, 92
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/java/com/monstradore/newarchitecture/MainApplicationReactNativeHost.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 20, 14, 117
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/java/com/monstradore/newarchitecture/components/MainComponentsRegistry.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8, 7, 37
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/java/com/monstradore/newarchitecture/modules/MainApplicationTurboModuleManagerDelegate.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 10, 9, 49
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/jni/MainApplicationModuleProvider.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 10, 7, 33
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/jni/MainApplicationModuleProvider.h", "C++", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 6, 17
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/jni/MainApplicationTurboModuleManagerDelegate.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 1, 8, 46
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/jni/MainApplicationTurboModuleManagerDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 9, 39
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/jni/MainComponentsRegistry.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 6, 15, 66
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/jni/MainComponentsRegistry.h", "C++", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 9, 33
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/jni/OnLoad.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/res/drawable/rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 23, 3, 37
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/res/values/strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 3, 10
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/build.gradle", "Groovy", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 9, 4, 54
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/gradle.properties", "Properties", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 26, 9, 41
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
